district,state,full_vaccination_any_source,full_vaccination_card_only,bcg_vaccination,polio_3_doses,dpt_3_doses,measles_first_dose,measles_second_dose,rotavirus_3_doses,hepatitis_3_doses,vitamin_a_supplementation,vaccinations_public_facility,vaccinations_private_facility
Nicobars,Andaman & Nicobar Islands,,,,,,,,,,94.9,,
North & Middle Andaman ,Andaman & Nicobar Islands,,,,,,,,,,,,
South Andaman ,Andaman & Nicobar Islands,,,,,,,,,,84.0,,
Srikakulam ,Andhra Pradesh,,,,,,,,,,69.6,,
Vizianagaram ,Andhra Pradesh,,,,,,,,,,85.9,,
Visakhapatnam ,Andhra Pradesh,,,,,,,,,,91.3,,
East Godavari ,Andhra Pradesh,,,,,,,,,,81.4,,
West Godavari ,Andhra Pradesh,,,,,,,,,,73.9,,
Krishna ,Andhra Pradesh,,,,,,,,,,81.0,,
Guntur ,Andhra Pradesh,,,,,,,,,,80.2,,
Prakasam ,Andhra Pradesh,,,,,,,,,,79.9,,
Sri Potti Sriramulu Nello ,Andhra Pradesh,65.3,,89.2,69.4,81.1,81.1,18.7,70.9,77.2,77.0,,
Y.S.R. ,Andhra Pradesh,83.0,89.7,92.0,84.9,88.9,88.7,26.4,87.5,89.0,90.1,98.3,1.7
Kurnool ,Andhra Pradesh,67.0,,95.9,69.0,86.3,84.1,22.3,69.1,76.6,79.1,100.0,0.0
Anantapur ,Andhra Pradesh,,,,,,,,,,75.7,,
Chittoor ,Andhra Pradesh,,,,,,,,,,76.9,,
Tawang ,Arunachal Pradesh,67.5,76.8,93.1,69.3,81.9,90.8,19.2,28.7,77.6,84.4,100.0,0.0
West Kameng ,Arunachal Pradesh,,,,,,,,,,79.9,,
East Kameng ,Arunachal Pradesh,60.8,78.3,82.9,71.9,70.7,77.8,36.3,20.5,64.4,67.9,98.0,0.0
Papum Pare ,Arunachal Pradesh,60.7,,88.1,63.9,76.3,77.3,37.4,11.5,64.3,75.5,,
Upper Subansiri ,Arunachal Pradesh,68.5,76.3,89.8,74.4,75.6,84.3,29.2,33.6,72.2,58.9,100.0,0.0
Upper Siang ,Arunachal Pradesh,,,,,,,,,,66.8,,
Changlang ,Arunachal Pradesh,70.9,,86.1,70.9,84.4,84.4,19.2,44.5,84.4,77.9,,
Lower Subansiri ,Arunachal Pradesh,,,,,,,,,,70.1,,
Dibang Valley ,Arunachal Pradesh,,,,,,,,,,58.0,,
Lower Dibang Valley ,Arunachal Pradesh,73.8,81.0,89.2,77.8,77.0,84.4,31.4,41.7,79.2,67.1,100.0,0.0
Anjaw ,Arunachal Pradesh,,,,,,,,,,58.6,,
East Siang ,Arunachal Pradesh,,,,,,,,,,67.3,,
Kra Daadi ,Arunachal Pradesh,,,,,,,,,,88.1,,
Kurung Kumey ,Arunachal Pradesh,,,,,,,,,,47.9,,
Lohit ,Arunachal Pradesh,,,,,,,,,,73.0,,
Longding ,Arunachal Pradesh,52.7,,74.5,52.7,59.7,61.5,14.9,34.1,59.7,54.2,,
Namsai ,Arunachal Pradesh,67.2,83.4,83.5,70.9,80.7,79.3,27.2,44.0,75.1,72.4,98.7,1.3
Siang ,Arunachal Pradesh,,,,,,,,,,68.1,,
Tirap ,Arunachal Pradesh,66.3,,82.8,72.1,77.4,77.9,19.4,37.5,77.4,72.8,,
West Siang ,Arunachal Pradesh,,,,,,,,,,64.5,,
Kokrajhar ,Assam,51.1,52.6,95.3,59.9,76.2,79.5,21.8,37.8,70.4,52.6,96.4,0.0
Goalpara ,Assam,70.3,72.7,98.4,71.9,90.6,90.6,16.3,52.0,87.3,57.8,100.0,0.0
Barpeta ,Assam,54.6,59.6,94.3,67.5,73.6,83.8,23.7,40.8,67.8,48.2,97.4,1.4
Morigaon ,Assam,73.4,82.9,91.3,77.0,87.9,87.0,9.9,60.3,83.0,60.2,98.6,0.0
Lakhimpur ,Assam,69.0,72.4,94.5,74.3,87.7,86.3,16.9,53.3,84.6,65.0,100.0,0.0
Dhemaji ,Assam,89.7,90.8,96.7,95.3,94.7,93.2,13.8,76.7,90.0,64.1,98.3,0.0
Tinsukia ,Assam,,,,,,,,,,59.3,,
Dibrugarh ,Assam,,,,,,,,,,56.5,,
Golaghat ,Assam,,,,,,,,,,61.1,,
Dima Hasao ,Assam,,,,,,,,,,63.3,,
Cachar ,Assam,70.4,82.1,88.3,74.4,82.5,76.9,9.2,39.9,63.8,67.9,98.6,0.0
Karimganj ,Assam,75.1,75.9,95.5,84.2,84.0,85.5,22.7,47.3,80.2,74.7,95.0,0.0
Hailakandi ,Assam,68.6,76.9,95.4,77.8,78.9,85.6,22.1,50.0,77.4,80.0,100.0,0.0
Bongaigaon ,Assam,67.9,73.2,94.1,74.7,80.4,84.2,17.0,40.0,71.3,65.0,96.8,3.2
Chirang ,Assam,71.1,68.2,98.2,77.9,86.4,89.3,29.3,43.8,84.5,63.7,96.5,3.5
Kamrup ,Assam,63.6,,90.5,70.1,86.1,83.0,17.4,38.1,73.2,64.0,93.9,6.1
Kamrup Metropolitan ,Assam,,,,,,,,,,54.9,,
Nalbari ,Assam,,,,,,,,,,58.4,,
Baksa ,Assam,70.5,67.3,93.6,78.3,87.2,91.9,26.6,53.8,68.3,55.8,100.0,0.0
Darrang ,Assam,57.1,58.1,94.9,68.7,76.7,82.2,11.9,34.4,70.4,48.2,98.9,1.1
Udalguri ,Assam,,,,,,,,,,53.2,,
Biswanath ,Assam,66.2,74.3,88.3,69.2,82.5,87.2,26.4,54.0,82.6,61.4,100.0,0.0
Charaideo ,Assam,,,,,,,,,,58.0,,
Dhubri ,Assam,71.6,69.5,90.5,77.3,82.7,84.0,31.8,47.4,81.4,50.6,96.9,0.0
Hojai ,Assam,55.5,,82.1,60.9,60.8,59.3,14.6,41.4,55.6,52.1,86.4,7.8
Jorhat ,Assam,69.2,70.4,100.0,79.4,79.8,83.3,25.9,50.3,78.4,50.9,94.2,4.1
Karbi Anglong ,Assam,64.3,,88.7,65.9,75.3,76.2,4.9,42.9,66.9,44.9,91.4,1.6
Majuli ,Assam,78.6,83.9,95.2,84.3,86.4,90.9,17.9,55.6,80.3,62.0,100.0,0.0
Nagaon ,Assam,58.2,68.0,86.9,67.2,73.6,67.3,9.6,31.4,64.6,47.9,95.3,3.3
Sivasagar ,Assam,,,,,,,,,,64.9,,
Sonitpur ,Assam,70.9,,90.4,76.5,76.8,80.4,21.5,62.4,75.0,58.7,,
South Salmara Mancachar ,Assam,65.8,66.0,97.0,74.1,81.9,85.3,6.6,47.1,73.7,65.8,100.0,0.0
West Karbi Anglong ,Assam,47.9,54.5,92.7,52.9,70.3,66.6,3.3,50.5,65.7,42.1,100.0,0.0
Pashchim Champaran ,Bihar,62.1,82.7,88.8,74.7,74.3,79.9,21.4,1.0,73.4,62.4,96.8,2.0
Purba Champaran ,Bihar,68.3,73.8,90.8,74.1,79.2,77.0,23.0,0.9,77.7,51.5,94.5,5.5
Sheohar ,Bihar,62.9,73.5,92.8,69.0,75.0,81.3,19.9,3.8,75.0,59.2,98.7,1.3
Sitamarhi ,Bihar,66.6,76.1,92.7,70.4,78.3,78.4,27.3,0.9,77.7,60.0,100.0,0.0
Madhubani ,Bihar,74.1,85.6,95.7,80.3,85.7,91.2,38.6,0.0,83.1,74.7,96.0,2.0
Supaul ,Bihar,73.6,80.5,99.2,76.8,88.0,85.5,31.3,0.0,81.7,50.5,99.3,0.0
Araria ,Bihar,61.6,71.1,90.0,67.3,77.4,83.0,32.3,0.0,74.2,57.1,94.7,1.6
